0ATH,AFFIDAVIT,OATH OF OFFICE,False
0GM/LEASE,LEASE,OGM LEASE,False
1ST ASST,AMENDMENT,OATH OF OFFICE,False
2ND AMEND/MTG/AGREE,AMENDMENT,MORTGAGE,False
2ND AMEND/MTG/ASGN,AMENDMENT,MORTGAGE,False
2ND ASSO,AMENDMENT,OATH OF OFFICE,False
2ND ASST,AMENDMENT,OATH OF OFFICE,False
2ND AST,AMENDMENT,OATH OF OFFICE,False
3 RD AMD/MTG/ASGN/AGREE,AGREEMENT,MORTGAGE,False
3/EXT,LEASE,MORTGAGE,False
3RD,AMENDMENT,MORTGAGE,False
3RD AMD/MTG/ASGN,AMENDMENT,MORTGAGE,False
3RD AMENMENT MTG/PLDGE/ASGN,AMENDMENT,MORTGAGE,False
4/EXT,LEASE,MORTGAGE,False
6 AMD,AMENDMENT,AMENDMENT,True
A,AGREEMENT,AMENDMENT,False
A/,AMENDMENT,AMENDMENT,True
A/&AMD,AMENDMENT,AMENDMENT,True
A//C,QUIT CLAIM,CORRECTION,False
A/AGR,AGREEMENT,AGREEMENT,True
A/AGREE,AGREEMENT,AGREEMENT,True
A/ASG,TRANSFER,ASSIGNMENT,False
A/C,QUIT CLAIM,CORRECTION,False
A/C  AMEND,AMENDMENT,CORRECTION,False
A/C ASGN,QUIT CLAIM,CORRECTION,False
A/C CPS,QUIT CLAIM,CORRECTION,False
A/C DEED,QUIT CLAIM,CORRECTION,False
A/C MTG,MORTGAGE,CORRECTION,False
A/C OGM,OGM RELEASE,CORRECTION,False
A/C/ASG,TRANSFER,CORRECTION,False
A/C0RR,ORDER,CORRECTION,False
A/C-ASG,ASSIGNMENT,CORRECTION,False
A/CONTRIBU,TRANSFER,CORRECTION,False
A/CORR,CORRECTION,CORRECTION,True
A/CORR/AMD,CORRECTION,CORRECTION,True
A/CORR/ASGN,CORRECTION,CORRECTION,True
A/CORR/RDP,CORRECTION,CORRECTION,True
A/CORR/SALE,CORRECTION,CORRECTION,True
A/CORRECTION,CORRECTION,CORRECTION,True
A/CRS,CERTIFICATE,CREDIT SALE,False
A/D,AMENDMENT,ASSUMPTION,False
A/D &,CORRECTION,ASSUMPTION,False
A/D AMTZ,ORDER,ASSUMPTION,False
A/D CPS,AMENDMENT,PARTITION,False
A/D CRS,AMENDMENT,CREDIT SALE,False
A/D EHD,NOTICE,ASSUMPTION,False
A/D PLAT,MAP OR PLAT,ASSUMPTION,False
A/D RSL,AMENDMENT,ASSUMPTION,False
A/D SALE,CASH SALE,ASSUMPTION,False
A/D-&MTG,MORTGAGE,ASSUMPTION,False
A/D/PLAT,ORDER,ASSUMPTION,False
A/D/RSL,ORDER,ASSUMPTION,False
A/D-CRS,CERTIFICATE,ASSUMPTION,False
A/D-DON,DONATION,ASSUMPTION,False
A/DEED,CASH SALE,ASSUMPTION,False
A/DON,DONATION,DONATION,True
A/D-PLAT,MAP OR PLAT,ASSUMPTION,False
A/D-SALE,CASH SALE,ASSUMPTION,False
A/I,AMENDMENT,AMENDMENT,True
A/J/POSS,NOTICE OF REPOSSESSION,JUDGMENT OF POSSESSION,False
A/J-POSS,NOTICE OF REPOSSESSION,JUDGMENT OF POSSESSION,False
A/JUDG,JUDGMENT,JUDGMENT,True
A/L,SALE & VENDORS LIEN,LEASE,False
A/L &,WILL,LEASE,False
A/MIN,OGM FILING,OGM FILING,True
A/MTG,MORTGAGE,MORTGAGE,True
A/MTGS,UCC/MORTGAGE,MORTGAGE,False
A/N,AMENDMENT,NOTICE,False
A/NOTE,NOTE,NOTE,True
A/OGL,OGM FILING,OGM FILING,True
A/PART,PARTITION,PARTITION,True
A/QCD,QUIT CLAIM,QUIT CLAIM,True
A/R,REINSCRIPTION,RATIFICATION,False
A/SALE,CASH SALE,ASSUMPTION,False
A/W,RIGHT OF WAY,ASSIGNMENT,False
A/WAGES,AGREEMENT,ASSIGNMENT,False
AAG/OGM,OGM LEASE,OGM FILING,False
ABAN-,ABANDONMENT,ABANDONMENT,True
ABAND,ABANDONMENT,ABANDONMENT,True
ABAND-,ABANDONMENT,ABANDONMENT,True
ABANDON,ABANDONMENT,ABANDONMENT,True
ABANDOND,ABANDONMENT,ABANDONMENT,True
ABANDONMENT,ABANDONMENT,ABANDONMENT,True
ABONDON,ABANDONMENT,ABANDONMENT,True
ABRY/AGR,AGREEMENT,LEASE,False
ABS-,ABANDONMENT,SUPPLEMENTAL,False
ABSTR,JUDGMENT  ,SUPPLEMENTAL,False
ABSTRACT,JUDGMENT  ,NOTICE,False
AC/LSE,ACKNOWLEDGEMENT,LEASE,False
ACA,ACKNOWLEDGEMENT,CORRECTION,False
ACCEP,ACCEPTANCE,ACCEPTANCE,True
ACCEPT,ACCEPTANCE,ACCEPTANCE,True
ACCEPT/AGR,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE OF DONATION,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE/DONATION,ACCEPTANCE,ACCEPTANCE,True
ACCPT,ACCEPTANCE,ACCEPTANCE,True
ACC-REC,ACCEPTANCE,ACCEPTANCE,True
ACCTS,ACCEPTANCE,ASSIGNMENT,False
ACK,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK AGR,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK AOC,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK O/R,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK OGM,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK REL,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/AFT,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/AMD,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/AMEND,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/BOUNDA,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/COR,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/CRS,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/MENT,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/MTG,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/NAME,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/OGM,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/PAT,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/QCD,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/RAT,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACK/S,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKLDG,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKN,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNLD,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNOW,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNOWLE,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNOWLEDE,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNOWLEDG,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNOWLEDGMENT,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNOWLEDGMENT & WAIVER,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNOWLEGE,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACKNOWLEGM,ACKNOWLEDGEMENT,ACKNOWLEDGMENT,False
ACPR/CNT,ACKNOWLEDGEMENT,ACCEPTANCE,False
ACPT,ACKNOWLEDGEMENT,ACCEPTANCE,False
ACPT/CNT,ACKNOWLEDGEMENT,ACCEPTANCE,False
ACPT/COR,ACKNOWLEDGEMENT,ACCEPTANCE,False
ACPT/DON,ACKNOWLEDGEMENT,DONATION ACCEPTANCE,False
ACPT/MTG,ACKNOWLEDGEMENT,ACCEPTANCE,False
ACPT/OGM,ACKNOWLEDGEMENT,ACCEPTANCE,False
ACT,ACKNOWLEDGEMENT,NOTICE,False
ACT CORR,CORRECTION,CORRECTION,True
ACT OF,ACKNOWLEDGEMENT,CORRECTION,False
ACT OF CORRECTION,CORRECTION,CORRECTION,True
ACT OF DEPOSIT,AFFIDAVIT,DEPOSIT,False
ACT/,ACKNOWLEDGEMENT,NOTICE,False
ACT/ASGN,ACKNOWLEDGEMENT,ASSIGNMENT,False
ACT/CNT,ACKNOWLEDGEMENT,CONTRACT,False
ACT/CORR,ACKNOWLEDGEMENT,CORRECTION,False
ACT/MTG,ACKNOWLEDGEMENT,MTGATION,False
ACT/ROW,ACKNOWLEDGEMENT,MORTGAGE,False
ACTP/CNT,ACKNOWLEDGEMENT,CONTRACT,False
AD,ADDENDUM,ADJUDICATION,False
ADC,ADDENDUM,CORRECTION,False
ADD/DUM,ADDENDUM,ADDENDUM,True
ADD/LSE,ADDENDUM,LEASE,False
ADDENDUM,ADDENDUM,ADDENDUM,True
ADG,ADDENDUM,ADJUDICATION,False
ADJ,AMENDMENT,ADJUDICATION,False
ADJ/CAN,AMENDMENT,CANCELLATION - SINGLE,False
ADJ/DEED,CASH SALE,ADJUDICATION,False
ADJ/TAX,AMENDMENT,ADJUDICATION,False
ADJUDCATION,JUDGMENT,ADJUDICATION,False
ADJUDICATI,JUDGMENT,ADJUDICATION,False
ADJUDICATION,JUDGMENT,ADJUDICATION,False
ADJUDICTION,JUDGMENT,ADJUDICATION,False
ADM,AMENDMENT,REQUEST NOTICE SEIZE,False
ADM/MTG,MORTGAGE,MORTGAGE,True
